iter	Passed	Remaining
979	8739	178
980	8750	169
981	8757	160
982	8765	151
983	8773	142
984	8782	133
985	8790	124
986	8798	115
987	8808	106
988	8818	98
989	8827	89
990	8837	80
991	8845	71
992	8853	62
993	8863	53
994	8870	44
995	8878	35
996	8885	26
997	8893	17
998	8904	8
999	8912	0
